"36,Austiņas,Shure,SE846 PRO,In-Ear,Nē,Nē,Nē,3.5 mm,1.62 m,4 mm,15 - 20000 Hz,9 Ω,114 dB,Jā,""2 x caurspīdīgi kabeļi (116/162 cm), Shure fit komplekts ar dažādiem adapteriem, kā arī ūdensnecaurlaidīgs un triecienizturīgs transportēšanas futrālis."",24 mēn,""Augstas izšķirtspējas 3 virzienu austiņas ar 4 """"drivers"""" (2x zemas frekvences, 1x vidējas, 1 x augstas)"",979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;
37,Austiņas,Plantronics,Savi,8245 Office Convertible,Aiz auss,Melna,Jā,Ar klipsi,Nē,Jā,Bluetooth,180 m,1.0 (Mono),24 mēn,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
38,Austiņas,Yealink,UH38,On-Ear,Melna,Jā,100 - 14000 Hz,Izvelkams,Nē,Nē,USB,1.2 m,35 mm,20 - 20000 Hz,115 dB,110 g,24 mēn,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
"39,Austiņas,Corsair,HS80 RGB,HS80,Ar galvas stīpu,Melna,Jā,100 - 10000 Hz,Iebūvēts,Jā,Jā,Bluetooth,50 mm,20 - 40000 Hz,32000 Ω,116 dB,Dolby Atmos,Aktīva,367 g,Nē,20 h,""1 x uztvērējs, USB kabelis"",24 mēn,""Mūsdienīgs, ergonomisks dizains."",""K Senukai OZOLS, Mazā Rencēnu iela 1"",,08.05.2023.,1 gab.,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;
40,Turētāji,SilverStone,EBA02S,Sudraba,24 mēn,Iespējams pieskrūvēt vai pielīmēt pie gludas virsmas,80.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
"41,1 gab.,–,1.0 gab.,1 gab.,–,""39,99 €"",1 gab.,–,""39,99 €"",Austiņas,JBL,Tune 510BT,Ar galvas stīpu,Rozā,Jā,Iebūvēts,Jā,Jā,USB-C,32 mm,20 Hz,95 dB,Nē,160 g,40 h,2 h,Uzlādes kabelis,24 mēn,39.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;
42,Austiņas,JBL,Tune Flex,Zila,Jā,Iebūvēts,Jā,Jā,Bluetooth,12 mm,20 - 20000 Hz,32 Ω,110 dB,Aktīva,9.6 g,32 h,2 h,24 mēn,76.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
43,Austiņas,Esperanza,EGH460,Ar galvas stīpu,Melna,Jā,30 - 16000 Hz,Jā,Nē,USB,2 m,20 - 20000 Hz,150 mW,32 Ω,105 dB,Pasīva,24 mēn,LED apgaismojums,13.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
"44,Austiņas,Beats,Studio Buds,MJ503ZM/A,Sarkana,Jā,Iebūvēts,Nē,Jā,Bluetooth,2.0 (Stereo),Aktīva,48 g,Nē,8 h,1 x Beats Studio Buds,24 mēn,""Pielāgota akustiskā platforma nodrošina jaudīgu, līdzsvarotu skaņu, aktīvā trokšņu slāpēšanas funkcija (ANC) bloķē ārējos trokšņus, lai klausītos iespaidīgi, viegli pārslēdzieties uz caurspīdīguma režīmu, lai dzirdētu apkārtējo pasauli."",163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;
45,Austiņas,Razer,Barracuda X,Barracuda X,Ar galvas stīpu,Rozā,Jā,100 - 10000 Hz,Izvelkams,Jā,Bluetooth,40 mm,20 - 20000 Hz,32 Ω,96 dB,2.0 (Stereo),250 g,Nē,20 h,24 mēn,99.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
"46,Austiņas,Steelseries,Arctis Nova,7P,Ar galvas stīpu,Melna,Jā,100 - 6500 Hz,Jā,Jā,Bluetooth,40 mm,20 - 22000 Hz,36 Ω,93 dB,Aktīva,38 h,0.25 h,""Arctis Nova 7P bezvadu austiņas"; Kompakts USB-C bezvadu sargspraudnis; USB-C uz USB-A dongle pagarinātāja kabelis (1,5 m); USB-C uz USB-A kabelis (1,5 m); 3,5 mm līdz 3,5 mm audio kabelis - 5 polu līdz 4 polu (1,2 m);" 2x noņemamas magnētiskās ausu plāksnes"",24 mēn,199.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
47,Citi aksesuāri,Karl Lagerfeld,Silicone Case for Airpods 3,Melna,Korpusa materiāls,Silikons,24 mēn,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
48,Austiņas,Asus,ROG Cetra,Melna,Jā,Iebūvēts,Jā,Jā,Bluetooth,20 - 20000 Hz,32 Ω,38 dB,2.0 (Stereo),10 g,Nē,24 mēn,136.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
49,Austiņas,Jabra,Evolve 65 SE,On-Ear,Melna,Jā,Izvelkams,Jā,Bluetooth,282 g,12 h,2 h,24 mēn,190.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
50,Austiņas,Shure,Aonic 40,SBH1DYWH1,Ar galvas stīpu,Balta,Jā,Iebūvēts,Jā,3.5 mm,Aktīva,Nē,25 h,24 mēn,Komplektā iekļauts: futrālis ar rāvējslēdzēju.,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
"51,Austiņas,Huawei,FreeBuds SE,FreeBuds SE,Balta,Jā,Iebūvēts,Nē,Jā,Bluetooth,10 mm,20 - 20000 Hz,Stereo,Aktīva,5.1 g,Nē,6 h,1.5 h,""Austiņas, uzlādes maciņš, ausu uzgaļi — 3 pāri (pieejami lieli, vidēji un mazi. Vidējie izmēri ir iepriekš uzstādīti uz austiņām.), ātrās lietošanas pamācība, drošības informācija, USB-C kabelis."",24 mēn,Elegants dizains,43.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;
